Q (1/A),Intensity in plane (a.u.),Intensity out of plane (a.u.)
0.14125001683831218,24.032974,30.731474
0.1437500171363354,23.61328,30.796118
0.14625001743435861,24.588526,31.082499
0.14875001773238183,23.725693,31.792448
0.15125001803040505,24.334158,30.7773
0.15375001832842827,23.668633,30.27142
0.1562500186264515,22.655418,30.777004
0.1587500189244747,21.544632,31.118845
0.16125001922249793,21.897314,30.73687
0.16375001952052118,25.05479,31.706184
0.16625001981854437,24.202356,30.876795
0.16875002011656762,22.647951,31.35415
0.17125002041459084,23.3948,31.60778
0.17375002071261408,23.657255,30.408049
0.17625002101063728,24.798454,30.28046
0.17875002130866052,25.843582,30.609821
0.18125002160668371,25.460327,30.368153
0.18375002190470696,24.603973,30.584282
0.18625002220273018,23.618864,30.752863
0.1887500225007534,23.877058,30.157095
0.19125002279877662,24.219828,30.829866
0.19375002309679984,23.870956,30.207008
0.19625002339482306,25.499117,30.905708
0.1987500236928463,24.51187,30.886816
0.2012500239908695,23.818422,30.688967
0.20375002428889274,25.528597,29.49282
0.206250024586916,24.533539,29.68014
0.20875002488493918,23.940042,28.989868
0.21125002518296243,24.837328,29.86148
0.21375002548098565,25.3573,29.981337
0.21625002577900887,24.921864,29.953384
0.2187500260770321,25.471422,29.770685
0.2212500263750553,24.96183,29.744894
0.22375002667307853,24.875183,30.379873
0.22625002697110178,24.665562,29.154778
0.22875002726912497,24.680958,29.340406
0.23125002756714821,25.003109,29.567446
0.2337500278651714,24.881464,29.693707
0.23625002816319465,25.153011,29.407145
0.23875002846121787,26.618395,29.677338
0.24125002875924112,24.748087,29.756279
0.24375002905726434,24.40474,29.00509
0.24625002935528756,25.810434,29.608543
0.24875002965331078,25.639277,29.581055
0.251250029951334,26.419685,28.77006
0.2537500302493572,25.89262,28.711432
0.25625003054738044,26.44649,28.778362
0.2587500308454037,25.252483,28.938032
0.2612500311434269,25.041037,28.62103
0.26375003144145015,25.783934,28.892647
0.2662500317394733,25.337467,28.938238
0.2687500320374966,26.702057,28.611609
0.2712500323355198,25.379505,28.906067
0.27375003263354303,25.319448,29.328255
0.27625003293156625,25.707306,29.51158
0.27875003322958947,25.306782,29.255695
0.2812500335276127,24.149548,29.386187
0.2837500338256359,25.589067,27.841951
0.2862500341236591,25.253418,28.542452
0.28875003442168234,25.523443,27.868992
0.2912500347197056,25.709066,28.460539
0.2937500350177288,25.294533,28.790571
0.29625003531575206,25.054525,28.333487
0.2987500356137752,25.113909,28.156965
0.3012500359117985,25.830626,28.221663
0.3037500362098217,26.063774,28.517035
0.30625003650784494,26.213087,28.228338
0.30875003680586816,25.443573,28.706446
0.3112500371038914,24.046972,28.773115
0.31375003740191465,24.841192,27.628956
0.3162500376999378,25.571432,28.080032
0.3187500379979611,25.62292,27.612165
0.3212500382959843,26.105822,28.453852
0.3237500385940075,25.775639,28.462423
0.3262500388920308,24.541008,27.907082
0.32875003919005397,25.434214,27.796247
0.3312500394880772,24.700752,28.077585
0.3337500397861004,25.171598,28.263218
0.3362500400841237,25.029408,28.436852
0.3387500403821469,25.574745,28.077303
0.34125004068017006,26.403158,27.694925
0.3437500409781933,24.905123,28.036663
0.34625004127621656,25.359388,27.903906
0.3487500415742398,25.06054,27.625734
0.351250041872263,26.236132,27.948107
0.35375004217028616,26.209646,28.260498
0.3562500424683095,25.665844,28.314594
0.35875004276633266,24.941359,27.682348
0.3612500430643559,24.56229,28.348938
0.36375004336237915,25.455488,26.968298
0.36625004366040237,24.438911,26.773663
0.3687500439584256,24.506641,27.369305
0.37125004425644875,25.224947,28.568829
0.373750044554472,25.773487,28.035118
0.37625004485249525,24.936436,27.956757
0.37875004515051847,25.234573,27.438978
0.3812500454485417,24.375189,27.713686
0.3837500457465649,23.791939,28.004248
0.3862500460445881,24.996414,26.916851
0.38875004634261134,25.089857,27.471426
0.39125004664063456,24.037388,27.486864
0.39375004693865784,25.009626,27.26907
0.396250047236681,23.797562,27.807463
0.3987500475347042,25.004742,27.700941
0.40125004783272744,24.977781,27.583113
0.4037500481307507,25.09061,27.701176
0.40625004842877394,24.87423,27.742693
0.4087500487267971,24.849386,27.81618
0.41125004902482043,25.110151,27.598104
0.4137500493228436,24.363201,27.294577
0.4162500496208668,25.234186,27.445257
0.41875004991889003,26.148922,27.95506
0.4212500502169133,24.004585,27.173695
0.4237500505149365,24.406452,27.468342
0.4262500508129597,25.80851,27.96475
0.4287500511109829,25.242094,27.477034
0.4312500514090062,24.257652,27.40909
0.4337500517070294,24.474356,26.941025
0.4362500520050526,25.016783,26.724771
0.4387500523030758,24.675903,27.297108
0.44125005260109906,24.795618,26.511114
0.4437500528991223,24.997774,26.385452
0.4462500531971455,23.924644,27.151857
0.4487500534951688,25.088224,26.7154
0.45125005379319194,24.78568,26.031784
0.45375005409121516,25.220375,26.841204
0.4562500543892384,24.679853,27.090176
0.45875005468726165,24.810114,26.72218
0.4612500549852849,25.297485,26.764313
0.46375005528330804,24.438753,26.907087
0.46625005558133126,24.672775,26.786135
0.46875005587935453,26.01685,27.5419
0.47125005617737775,25.458456,26.899532
0.47375005647540097,24.72531,26.519562
0.47625005677342414,24.95153,26.894176
0.47875005707144747,25.33411,26.79972
0.48125005736947063,25.172596,26.234169
0.48375005766749385,23.960629,26.642218
0.4862500579655171,24.547382,26.23599
0.48875005826354034,25.311897,26.84838
0.49125005856156356,24.267996,26.683472
0.4937500588595867,25.112356,26.188284
0.49625005915761,25.270353,26.984486
0.4987500594556332,24.667738,26.540121
0.5012500597536564,24.126131,26.841496
0.5037500600516797,24.84053,27.086494
0.5062500603497029,24.36492,25.39649
0.5087500606477261,23.934149,26.238628
0.5112500609457493,24.059765,25.767544
0.5137500612437725,24.069792,26.308275
0.5162500615417958,23.581795,25.719654
0.518750061839819,24.237661,25.383184
0.5212500621378422,24.62548,25.126854
0.5237500624358655,23.824749,25.273888
0.5262500627338886,23.906078,25.185303
0.5287500630319119,23.881908,25.260107
0.5312500633299351,23.486977,25.205334
0.5337500636279584,24.444471,26.052723
0.5362500639259816,24.46804,25.591766
0.5387500642240048,24.817396,25.837355
0.541250064522028,24.73518,26.465736
0.5437500648200513,26.326538,26.178162
0.5462500651180745,25.298483,26.117884
0.5487500654160977,25.097641,26.063686
0.5512500657141208,24.247927,25.921375
0.5537500660121442,25.535105,26.28656
0.5562500663101674,25.978975,25.633007
0.5587500666081906,25.282188,26.236883
0.5612500669062138,25.97716,26.130589
0.563750067204237,25.174427,26.132635
0.5662500675022603,25.3425,25.882511
0.5687500678002835,25.732635,25.763958
0.5712500680983067,24.505194,25.310003
0.5737500683963299,24.163769,25.390642
0.5762500686943531,24.687553,26.203278
0.5787500689923764,23.696253,25.678183
0.5812500692903997,24.20574,25.22653
0.5837500695884228,23.68619,24.600826
0.586250069886446,23.774433,25.51271
0.5887500701844692,23.56552,25.794907
0.5912500704824926,23.965826,25.30711
0.5937500707805157,24.050674,25.311014
0.5962500710785389,23.821926,25.202862
0.5987500713765621,23.702324,25.145004
0.6012500716745854,23.156235,25.03421
0.6037500719726087,23.471874,25.21159
0.6062500722706319,23.695059,25.612843
0.6087500725686551,23.991577,25.396904
0.6112500728666783,23.463184,25.416471
