Q (1/A),Intensity in plane (a.u.),Intensity out of plane (a.u.)
0.5312500633299351,4.0071707,0.0
0.5337500636279584,3.8810964,0.0
0.5362500639259816,4.272773,0.0
0.5387500642240048,4.035846,0.0
0.541250064522028,4.1391015,0.0
0.5437500648200513,3.7721438,0.0
0.5462500651180745,4.0555468,0.0
0.5487500654160977,4.0733457,0.0
0.5512500657141208,3.8264863,0.0
0.5537500660121442,4.2195716,0.0
0.5562500663101674,3.9906957,0.0
0.5587500666081906,4.0558977,0.0
0.5612500669062138,3.9253318,0.0
0.563750067204237,3.5935977,0.0
0.5662500675022603,3.9321008,0.0
0.5687500678002835,4.011459,0.0
0.5712500680983067,3.440153,0.0
0.5737500683963299,3.966712,0.0
0.5762500686943531,3.953958,0.0
0.5787500689923764,3.7587423,0.0
0.5812500692903997,3.916397,0.0
0.5837500695884228,3.9173672,0.0
0.586250069886446,3.5197155,0.0
0.5887500701844692,3.7039742,0.0
0.5912500704824926,3.5682125,0.0
0.5937500707805157,4.030566,0.0
0.5962500710785389,3.9689493,0.0
0.5987500713765621,3.947809,0.0
0.6012500716745854,3.766687,0.0
0.6037500719726087,3.8810318,0.0
0.6062500722706319,3.9487102,0.0
0.6087500725686551,3.691589,0.0
0.6112500728666783,3.5436628,0.0
0.6137500731647015,4.1624856,0.0
0.6162500734627248,3.9611442,0.0
0.618750073760748,3.6507342,0.0
0.6212500740587712,4.2023897,0.0
0.6237500743567944,3.96115,0.0
0.6262500746548176,3.601327,0.0
0.6287500749528409,3.7263212,0.0
0.6312500752508641,3.6309788,0.0
0.6337500755488873,3.692317,0.0
0.6362500758469105,3.6839747,0.0
0.6387500761449337,3.9780304,0.0
0.641250076442957,3.789261,0.0
0.6437500767409803,3.7235816,0.0
0.6462500770390034,3.8304377,0.0
0.6487500773370267,3.459792,0.0
0.6512500776350499,3.4276881,0.0
0.653750077933073,3.5845466,0.0
0.6562500782310964,3.5860217,0.0
0.6587500785291195,3.4827502,0.0
0.6612500788271427,3.7328303,0.0
0.663750079125166,3.608101,0.0
0.6662500794231891,3.954959,0.0
0.6687500797212125,3.8332932,0.0
0.6712500800192357,3.6341903,0.0
0.6737500803172589,3.7367625,0.0
0.6762500806152821,3.5861652,0.0
0.6787500809133052,3.300019,0.0
0.6812500812113286,3.8366601,0.0
0.6837500815093518,3.772037,0.0
0.6862500818073749,3.777586,0.0
0.6887500821053982,3.3917015,0.0
0.6912500824034216,3.807844,0.0
0.6937500827014447,3.4669454,0.0
0.6962500829994679,3.4766815,0.0
0.6987500832974912,3.556663,0.0
0.7012500835955143,3.6336455,0.0
0.7037500838935375,3.6198502,0.0
0.7062500841915608,3.3155549,0.0
0.708750084489584,3.3224146,0.0
0.7112500847876073,3.5664062,0.0
0.7137500850856304,3.6098258,0.0
0.7162500853836538,3.5772827,0.0
0.718750085681677,3.2641945,0.0
0.7212500859797001,3.441625,0.0
0.7237500862777234,3.3488498,0.0
0.7262500865757466,3.5194144,0.0
0.7287500868737697,3.4394817,0.0
0.7312500871717931,3.4778166,0.0
0.7337500874698162,3.4834132,0.0
0.7362500877678395,3.5764925,0.0
0.7387500880658627,3.5054746,0.0
0.741250088363886,3.4974275,0.0
0.7437500886619092,3.5300665,0.0
0.7462500889599324,3.0703452,0.0
0.7487500892579556,3.2686481,0.0
0.7512500895559788,3.4903662,0.0
0.7537500898540019,3.636317,0.0
0.7562500901520253,3.2286937,0.0
0.7587500904500486,3.3180532,0.0
0.7612500907480717,3.2162895,0.0
0.7637500910460949,3.380349,0.0
0.7662500913441183,3.2753704,0.0
0.7687500916421414,3.3723376,0.0
0.7712500919401646,3.213963,0.0
0.7737500922381879,3.2841825,0.0
0.776250092536211,3.0807996,0.0
0.7787500928342344,3.2022314,0.0
0.7812500931322575,3.1835132,0.0
0.7837500934302808,3.1109724,0.0
0.786250093728304,3.1734335,0.0
0.7887500940263271,3.1244175,0.0
0.7912500943243505,3.5374653,0.0
0.7937500946223737,3.1579006,0.0
0.7962500949203968,3.2423215,0.0
0.7987500952184201,3.2551844,0.0
0.8012500955164432,3.028997,0.0
0.8037500958144665,2.9966214,0.0
0.8062500961124898,3.119409,0.0
0.808750096410513,3.0809395,0.0
0.8112500967085362,3.3306668,0.0
0.8137500970065594,3.2251868,0.0
0.8162500973045826,3.3854985,0.0
0.8187500976026059,3.1862185,0.0
0.8212500979006292,3.1764436,0.0
0.8237500981986523,3.3259757,0.0
0.8262500984966756,3.0629277,0.0
0.8287500987946987,3.049287,0.0
0.831250099092722,3.0907438,0.0
0.8337500993907453,3.3935447,0.0
0.8362500996887684,3.3065383,0.0
0.8387500999867916,3.151031,0.0
0.841250100284815,3.4604707,0.0
0.8437501005828381,3.3050082,0.0
0.8462501008808614,3.4408,0.0
0.8487501011788846,3.139598,0.0
0.8512501014769078,3.112015,0.0
0.853750101774931,3.000784,0.0
0.8562501020729542,2.9045744,0.0
0.8587501023709775,2.8836513,0.0
0.8612501026690007,3.0451057,0.0
0.8637501029670238,3.0224147,0.0
0.8662501032650471,2.964558,0.0
0.8687501035630705,2.9849732,0.0
0.8712501038610936,3.1057994,0.0
0.8737501041591168,2.980091,0.0
0.87625010445714,3.044096,0.0
0.8787501047551632,3.2383611,0.0
0.8812501050531865,3.1335003,0.0
0.8837501053512097,3.0345619,0.0
0.8862501056492329,3.0626254,0.0
0.8887501059472562,2.9955733,0.0
0.8912501062452793,2.9124236,0.0
0.8937501065433027,3.1475167,0.0
0.8962501068413259,3.384219,0.0
0.898750107139349,2.9465673,0.0
0.9012501074373723,3.0939262,0.0
0.9037501077353954,3.0227182,0.0
0.9062501080334187,2.775747,0.0
0.908750108331442,2.9395454,0.0
0.9112501086294651,2.8562071,0.0
0.9137501089274884,1.4697727,0.0
0.9162501092255116,1.4281036,0.0
0.9187501095235349,0.0,0.0
0.9212501098215581,0.0,0.0
0.9237501101195813,0.0,0.0
0.9262501104176045,0.0,0.0
0.9287501107156277,0.0,0.0
0.9312501110136508,0.0,0.0
0.9337501113116742,0.0,0.0
0.9362501116096975,0.0,0.0
0.9387501119077206,0.0,0.0
0.9412501122057438,0.0,0.0
0.9437501125037672,0.0,0.0
0.9462501128017903,0.0,0.0
0.9487501130998135,0.0,0.0
0.9512501133978367,0.0,0.0
0.9537501136958599,0.0,0.0
0.9562501139938833,0.0,0.0
0.9587501142919064,0.0,0.0
0.9612501145899297,0.0,0.0
0.9637501148879529,0.0,0.0
0.966250115185976,0.0,0.0
0.9687501154839994,0.0,0.0
0.9712501157820226,0.0,0.0
0.9737501160800457,0.0,0.0
0.976250116378069,0.0,0.0
0.9787501166760921,0.0,0.0
0.9812501169741155,0.0,0.0
0.9837501172721387,0.0,0.0
0.9862501175701619,0.0,0.0
0.9887501178681851,0.0,0.0
0.9912501181662083,0.0,0.0
0.9937501184642316,0.0,0.0
0.9962501187622548,0.0,0.0
0.9987501190602779,0.0,0.0
1.0012501193583012,0.0,0.0
1.0037501196563245,0.0,0.0
1.0062501199543477,0.0,0.0
1.008750120252371,0.0,0.0
1.011250120550394,0.0,0.0
1.0137501208484174,0.0,0.0
1.0162501211464405,0.0,0.0
1.0187501214444639,0.0,0.0
1.021250121742487,0.0,0.0
1.0237501220405103,0.0,0.0
1.0262501223385334,0.0,0.0
1.0287501226365567,0.0,0.0
1.0312501229345798,0.0,0.0
1.0337501232326032,0.0,0.0
1.0362501235306263,0.0,0.0
1.0387501238286496,0.0,0.0
1.0412501241266727,0.0,0.0
1.043750124424696,0.0,0.0
1.0462501247227194,0.0,0.0
1.0487501250207425,0.0,0.0
1.0512501253187658,0.0,0.0
1.053750125616789,0.0,0.0
1.0562501259148123,0.0,0.0
1.0587501262128354,0.0,0.0
1.0612501265108585,0.0,0.0
1.0637501268088818,0.0,0.0
1.0662501271069051,0.0,0.0
1.0687501274049283,0.0,0.0
1.0712501277029516,0.0,0.0
1.0737501280009747,0.0,0.0
1.076250128298998,0.0,0.0
1.0787501285970211,0.0,0.0
1.0812501288950442,0.0,0.0
1.0837501291930676,0.0,0.0
1.086250129491091,0.0,0.0
1.088750129789114,0.0,0.0
1.0912501300871373,0.0,0.0
1.0937501303851607,0.0,0.0
1.0962501306831838,0.0,0.0
1.098750130981207,0.0,0.0
1.1012501312792302,0.0,0.0
1.1037501315772533,0.0,0.0
1.1062501318752767,0.0,0.0
1.1087501321732998,0.0,0.0
1.111250132471323,0.0,0.0
1.1137501327693464,0.0,0.0
1.1162501330673695,0.0,0.0
1.1187501333653929,0.0,0.0
1.121250133663416,0.0,0.0
1.123750133961439,0.0,0.0
1.1262501342594624,0.0,0.0
1.1287501345574855,0.0,0.0
1.1312501348555088,0.0,0.0
1.1337501351535322,0.0,0.0
1.1362501354515553,0.0,0.0
1.1387501357495786,0.0,0.0
1.141250136047602,0.0,0.0
1.143750136345625,0.0,0.0
1.1462501366436482,0.0,0.0
1.1487501369416715,0.0,0.0
1.1512501372396946,0.0,0.0
1.153750137537718,0.0,0.0
1.156250137835741,0.0,0.0
1.1587501381337644,0.0,0.0
1.1612501384317877,0.0,0.0
1.1637501387298108,0.0,0.0
1.166250139027834,0.0,0.0
1.1687501393258573,0.0,0.0
1.1712501396238804,0.0,0.0
1.1737501399219037,0.0,0.0
1.1762501402199268,0.0,0.0
1.1787501405179501,0.0,0.0
1.1812501408159735,0.0,0.0
1.1837501411139966,0.0,0.0
1.18625014141202,0.0,0.0
